cust_id,transaction_type,transaction_date,subscription_type,subscription_price
68,initial,2020-09-01,MAX,99
69,initial,2022-02-01,PRO,85
70,initial,2022-07-01,PRO,85
71,initial,2021-02-01,PRO,75
72,initial,2020-09-01,MAX,99
73,initial,2022-05-01,PRO,85
74,initial,2022-08-01,MAX,119
75,initial,2021-07-01,BASIC,43
76,initial,2022-06-01,PRO,85
77,initial,2020-01-01,BASIC,33
78,initial,2020-03-01,PRO,65
79,initial,2022-07-01,PRO,85
80,initial,2021-01-01,PRO,75
81,initial,2020-11-01,MAX,99
82,initial,2022-09-01,BASIC,53
83,initial,2022-09-01,BASIC,53
84,initial,2020-09-01,MAX,99
85,initial,2021-10-01,PRO,75
86,initial,2022-04-01,PRO,85
87,initial,2020-01-01,MAX,99
88,initial,2022-06-01,BASIC,53
89,initial,2021-03-01,MAX,109
90,initial,2020-12-01,BASIC,33
91,initial,2020-10-01,MAX,99
92,initial,2022-09-01,PRO,85
93,initial,2022-10-01,PRO,85
94,initial,2022-11-01,PRO,85
95,initial,2020-11-01,BASIC,33
96,initial,2021-05-01,MAX,109
97,initial,2022-05-01,MAX,119
98,initial,2022-01-01,BASIC,53
99,initial,2022-06-01,MAX,119
100,initial,2022-08-01,BASIC,53
101,initial,2021-12-01,BASIC,43
102,initial,2022-12-01,PRO,85
103,initial,2022-11-01,PRO,85
104,initial,2021-06-01,MAX,109
105,initial,2020-09-01,PRO,65
106,initial,2020-12-01,MAX,99
107,initial,2021-11-01,MAX,109
108,initial,2020-11-01,BASIC,33
109,initial,2020-04-01,PRO,65
110,initial,2022-11-01,BASIC,53
111,initial,2020-01-01,PRO,65
112,initial,2021-06-01,BASIC,43
113,initial,2021-10-01,MAX,109
114,initial,2021-01-01,PRO,75
115,initial,2021-11-01,BASIC,43
116,initial,2020-07-01,PRO,65
117,initial,2021-11-01,PRO,75
118,initial,2020-10-01,BASIC,33
119,initial,2022-01-01,BASIC,53
120,initial,2020-09-01,BASIC,33
121,initial,2020-10-01,PRO,65
122,initial,2020-10-01,MAX,99
123,initial,2020-10-01,BASIC,33
124,initial,2020-03-01,MAX,99
125,initial,2021-01-01,PRO,75
126,initial,2022-12-01,MAX,119
127,initial,2020-07-01,MAX,99
128,initial,2021-09-01,BASIC,43
129,initial,2021-02-01,PRO,75
130,initial,2020-09-01,BASIC,33
131,initial,2022-09-01,BASIC,53
132,initial,2020-04-01,BASIC,33
133,initial,2021-11-01,PRO,75
134,initial,2022-02-01,BASIC,53
135,initial,2022-12-01,BASIC,53
136,initial,2021-02-01,BASIC,43
137,initial,2021-05-01,MAX,109
138,initial,2020-09-01,MAX,99
139,initial,2020-11-01,MAX,99
140,initial,2021-11-01,PRO,75
141,initial,2022-03-01,PRO,85
142,initial,2022-08-01,BASIC,53
143,initial,2022-03-01,BASIC,53
144,initial,2022-07-01,MAX,119
145,initial,2021-07-01,PRO,75
146,initial,2022-11-01,MAX,119
147,initial,2020-06-01,BASIC,33
148,initial,2021-10-01,BASIC,43
149,initial,2020-11-01,PRO,65
150,initial,2020-08-01,PRO,65
151,initial,2020-10-01,PRO,65
152,initial,2020-01-01,PRO,65
153,initial,2020-11-01,BASIC,33
154,initial,2020-04-01,PRO,65
155,initial,2021-10-01,BASIC,43
156,initial,2022-12-01,PRO,85
157,initial,2022-09-01,BASIC,53
158,initial,2021-02-01,BASIC,43
159,initial,2020-02-01,PRO,65
160,initial,2021-06-01,MAX,109
161,initial,2020-09-01,PRO,65
162,initial,2022-07-01,MAX,119
163,initial,2020-03-01,BASIC,33
164,initial,2021-03-01,PRO,75
165,initial,2021-11-01,BASIC,43
166,initial,2022-01-01,PRO,85
167,initial,2021-06-01,PRO,75
168,initial,2021-03-01,MAX,109
169,initial,2022-03-01,PRO,85
170,initial,2022-06-01,PRO,85
171,initial,2022-09-01,PRO,85
172,initial,2021-01-01,BASIC,43
173,initial,2021-03-01,PRO,75
174,initial,2022-12-01,PRO,85
175,initial,2020-04-01,MAX,99
176,initial,2022-05-01,PRO,85
177,initial,2021-05-01,PRO,75
178,initial,2021-10-01,BASIC,43
179,initial,2020-12-01,BASIC,33
180,initial,2022-02-01,BASIC,53
181,initial,2021-12-01,MAX,109
182,initial,2022-04-01,PRO,85
183,initial,2020-04-01,BASIC,33
184,initial,2021-08-01,BASIC,43
185,initial,2022-02-01,MAX,119
186,initial,2022-12-01,PRO,85
187,initial,2021-07-01,PRO,75
188,initial,2021-05-01,BASIC,43
189,initial,2020-12-01,BASIC,33
190,initial,2020-08-01,BASIC,33
191,initial,2020-08-01,PRO,65
192,initial,2021-10-01,MAX,109
193,initial,2021-12-01,PRO,75
194,initial,2022-03-01,BASIC,53
195,initial,2020-07-01,BASIC,33
196,initial,2020-01-01,PRO,65
197,initial,2020-04-01,PRO,65
198,initial,2020-12-01,MAX,99
199,initial,2022-09-01,MAX,119
200,initial,2022-10-01,BASIC,53
201,initial,2020-05-01,BASIC,33
202,initial,2020-03-01,PRO,65
203,initial,2020-01-01,BASIC,33
204,initial,2021-10-01,BASIC,43
205,initial,2022-08-01,BASIC,53
206,initial,2020-02-01,PRO,65
207,initial,2022-07-01,PRO,85
208,initial,2020-02-01,MAX,99
209,initial,2020-07-01,MAX,99
210,initial,2020-02-01,BASIC,33
211,initial,2022-07-01,MAX,119
212,initial,2022-08-01,BASIC,53
213,initial,2022-11-01,PRO,85
214,initial,2021-07-01,PRO,75
215,initial,2022-05-01,PRO,85
216,initial,2021-01-01,BASIC,43
217,initial,2020-06-01,MAX,99
218,initial,2022-03-01,PRO,85
219,initial,2022-06-01,PRO,85
220,initial,2022-01-01,BASIC,53
221,initial,2020-07-01,PRO,65
222,initial,2021-11-01,MAX,109
223,initial,2021-10-01,MAX,109
224,initial,2022-03-01,BASIC,53
225,initial,2021-11-01,BASIC,43
226,initial,2022-02-01,MAX,119
227,initial,2022-04-01,BASIC,53
228,initial,2022-07-01,MAX,119
229,initial,2022-01-01,PRO,85
230,initial,2022-11-01,BASIC,53
231,initial,2022-11-01,BASIC,53
232,initial,2020-04-01,PRO,65
233,initial,2022-08-01,BASIC,53
234,initial,2020-10-01,PRO,65
235,initial,2020-11-01,PRO,65
236,initial,2020-06-01,PRO,65
237,initial,2020-07-01,MAX,99
238,initial,2021-07-01,BASIC,43
239,initial,2021-08-01,BASIC,43
240,initial,2021-05-01,MAX,109
241,initial,2020-01-01,BASIC,33
242,initial,2021-12-01,BASIC,43
243,initial,2020-10-01,PRO,65
244,initial,2022-03-01,BASIC,53
245,initial,2020-02-01,PRO,65
246,initial,2021-02-01,MAX,109
247,initial,2021-07-01,PRO,75
248,initial,2020-07-01,PRO,65
249,initial,2021-08-01,BASIC,43
250,initial,2020-05-01,PRO,65
251,initial,2021-07-01,PRO,75
252,initial,2020-08-01,MAX,99
253,initial,2021-05-01,MAX,109
254,initial,2020-10-01,BASIC,33
255,initial,2020-12-01,PRO,65
256,initial,2021-06-01,PRO,75
257,initial,2020-09-01,PRO,65
258,initial,2020-08-01,BASIC,33
259,initial,2021-09-01,PRO,75
260,initial,2022-09-01,BASIC,53
261,initial,2020-10-01,BASIC,33
262,initial,2020-05-01,BASIC,33
263,initial,2020-04-01,BASIC,33
264,initial,2020-01-01,BASIC,33
265,initial,2020-11-01,BASIC,33
266,initial,2022-03-01,PRO,85
267,initial,2020-03-01,MAX,99
268,initial,2020-08-01,BASIC,33
269,initial,2022-04-01,PRO,85
270,initial,2021-05-01,PRO,75
271,initial,2021-07-01,BASIC,43
272,initial,2020-10-01,PRO,65
273,initial,2022-01-01,PRO,85
274,initial,2020-04-01,PRO,65
275,initial,2021-06-01,MAX,109
276,initial,2022-01-01,BASIC,53
277,initial,2020-04-01,MAX,99
278,initial,2022-01-01,PRO,85
279,initial,2020-09-01,BASIC,33
280,initial,2021-09-01,BASIC,43
281,initial,2020-04-01,PRO,65
282,initial,2022-11-01,MAX,119
283,initial,2022-08-01,BASIC,53
284,initial,2021-11-01,PRO,75
285,initial,2021-01-01,BASIC,43
286,initial,2022-11-01,BASIC,53
287,initial,2022-06-01,PRO,85
288,initial,2021-07-01,PRO,75
289,initial,2020-08-01,PRO,65
290,initial,2022-01-01,MAX,119
291,initial,2022-12-01,MAX,119
292,initial,2020-05-01,BASIC,33
293,initial,2022-01-01,PRO,85
294,initial,2021-04-01,PRO,75
295,initial,2020-06-01,BASIC,33
296,initial,2020-01-01,BASIC,33
297,initial,2022-09-01,BASIC,53
298,initial,2022-04-01,BASIC,53
299,initial,2020-12-01,MAX,99
300,initial,2020-08-01,PRO,65
301,initial,2020-03-01,BASIC,33
302,initial,2021-11-01,MAX,109
303,initial,2020-11-01,BASIC,33
304,initial,2021-05-01,MAX,109
305,initial,2020-07-01,BASIC,33
306,initial,2022-10-01,PRO,85
307,initial,2020-08-01,PRO,65
308,initial,2022-06-01,PRO,85
309,initial,2020-02-01,MAX,99
310,initial,2020-06-01,PRO,65
311,initial,2021-06-01,PRO,75
312,initial,2021-06-01,PRO,75
313,initial,2020-06-01,BASIC,33
314,initial,2021-08-01,BASIC,43
315,initial,2021-05-01,PRO,75
316,initial,2021-12-01,BASIC,43
317,initial,2020-05-01,BASIC,33
318,initial,2021-11-01,MAX,109
319,initial,2022-09-01,BASIC,53
320,initial,2022-05-01,PRO,85
321,initial,2020-09-01,BASIC,33
322,initial,2020-02-01,PRO,65
323,initial,2020-08-01,PRO,65
324,initial,2022-03-01,MAX,119
325,initial,2022-04-01,PRO,85
326,initial,2021-11-01,PRO,75
327,initial,2021-08-01,PRO,75
328,initial,2020-02-01,MAX,99
329,initial,2021-09-01,BASIC,43
330,initial,2020-03-01,BASIC,33
331,initial,2022-01-01,MAX,119
332,initial,2020-05-01,PRO,65
333,initial,2020-10-01,PRO,65
334,initial,2021-01-01,PRO,75
335,initial,2020-06-01,MAX,99
336,initial,2020-06-01,PRO,65
337,initial,2022-10-01,MAX,119
338,initial,2022-08-01,BASIC,53
339,initial,2021-12-01,BASIC,43
340,initial,2020-01-01,BASIC,33
341,initial,2022-02-01,BASIC,53
342,initial,2021-12-01,BASIC,43
343,initial,2020-08-01,MAX,99
344,initial,2022-04-01,MAX,119
345,initial,2020-11-01,PRO,65
346,initial,2021-12-01,BASIC,43
347,initial,2020-06-01,PRO,65
348,initial,2020-09-01,BASIC,33
349,initial,2020-12-01,BASIC,33
350,initial,2022-12-01,BASIC,53
351,initial,2020-12-01,MAX,99
352,initial,2020-08-01,BASIC,33
353,initial,2021-12-01,BASIC,43
354,initial,2020-04-01,MAX,99
355,initial,2020-02-01,BASIC,33
356,initial,2022-02-01,PRO,85
357,initial,2021-01-01,PRO,75
358,initial,2020-03-01,PRO,65
359,initial,2020-11-01,MAX,99
360,initial,2020-08-01,BASIC,33
361,initial,2020-07-01,BASIC,33
362,initial,2020-07-01,MAX,99
363,initial,2020-11-01,PRO,65
364,initial,2021-11-01,PRO,75
365,initial,2020-05-01,BASIC,33
366,initial,2020-07-01,MAX,99
367,initial,2021-01-01,BASIC,43
368,initial,2022-12-01,PRO,85
369,initial,2022-10-01,BASIC,53
370,initial,2020-11-01,PRO,65
371,initial,2022-03-01,PRO,85
372,initial,2021-03-01,PRO,75
373,initial,2021-11-01,MAX,109
374,initial,2022-05-01,MAX,119
375,initial,2020-07-01,BASIC,33
376,initial,2020-04-01,MAX,99
377,initial,2020-10-01,PRO,65
378,initial,2020-01-01,PRO,65
379,initial,2022-10-01,BASIC,53
380,initial,2020-08-01,MAX,99
381,initial,2022-05-01,MAX,119
382,initial,2021-08-01,PRO,75
383,initial,2021-10-01,PRO,75
384,initial,2022-12-01,PRO,85
385,initial,2021-12-01,MAX,109
386,initial,2021-08-01,BASIC,43
387,initial,2022-09-01,PRO,85
388,initial,2022-03-01,PRO,85
389,initial,2021-04-01,MAX,109
390,initial,2021-06-01,PRO,75
391,initial,2021-10-01,PRO,75
392,initial,2021-11-01,BASIC,43
393,initial,2021-11-01,BASIC,43
394,initial,2020-11-01,PRO,65
395,initial,2021-03-01,BASIC,43
396,initial,2021-11-01,BASIC,43
397,initial,2021-05-01,BASIC,43
398,initial,2020-05-01,BASIC,33
399,initial,2020-08-01,PRO,65
400,initial,2022-05-01,PRO,85
401,initial,2022-10-01,BASIC,53
402,initial,2020-08-01,PRO,65
403,initial,2022-04-01,PRO,85
404,initial,2022-04-01,PRO,85
405,initial,2022-10-01,PRO,85
406,initial,2022-09-01,PRO,85
407,initial,2022-10-01,PRO,85
408,initial,2021-09-01,BASIC,43
409,initial,2021-09-01,BASIC,43
410,initial,2020-08-01,BASIC,33
411,initial,2022-01-01,PRO,85
412,initial,2022-04-01,BASIC,53
413,initial,2020-02-01,PRO,65
414,initial,2021-05-01,BASIC,43
415,initial,2020-12-01,BASIC,33
416,initial,2022-12-01,BASIC,53
417,initial,2022-12-01,PRO,85
418,initial,2022-08-01,BASIC,53
419,initial,2020-10-01,BASIC,33
420,initial,2022-06-01,BASIC,53
421,initial,2022-01-01,MAX,119
422,initial,2021-10-01,BASIC,43
423,initial,2020-08-01,MAX,99
424,initial,2021-02-01,PRO,75
425,initial,2020-12-01,MAX,99
426,initial,2021-11-01,BASIC,43
427,initial,2022-01-01,MAX,119
428,initial,2022-04-01,MAX,119
429,initial,2021-02-01,MAX,109
430,initial,2020-06-01,PRO,65
431,initial,2020-01-01,BASIC,33
432,initial,2020-08-01,PRO,65
433,initial,2021-10-01,PRO,75
434,initial,2020-11-01,BASIC,33
435,initial,2022-07-01,BASIC,53
436,initial,2021-03-01,MAX,109
437,initial,2022-01-01,PRO,85
438,initial,2020-11-01,PRO,65
439,initial,2022-04-01,MAX,119
440,initial,2020-11-01,BASIC,33
441,initial,2020-05-01,BASIC,33
442,initial,2021-08-01,BASIC,43
443,initial,2021-07-01,BASIC,43
444,initial,2022-03-01,PRO,85
445,initial,2021-07-01,MAX,109
446,initial,2020-09-01,BASIC,33
447,initial,2020-02-01,BASIC,33
448,initial,2020-10-01,BASIC,33
449,initial,2020-04-01,MAX,99
450,initial,2021-06-01,PRO,75
451,initial,2022-07-01,BASIC,53
452,initial,2022-03-01,MAX,119
453,initial,2021-09-01,BASIC,43
454,initial,2022-12-01,PRO,85
455,initial,2020-03-01,PRO,65
456,initial,2021-03-01,MAX,109
457,initial,2020-10-01,BASIC,33
458,initial,2022-09-01,PRO,85
459,initial,2021-01-01,BASIC,43
460,initial,2021-01-01,PRO,75
461,initial,2020-08-01,BASIC,33
462,initial,2021-02-01,BASIC,43
463,initial,2021-04-01,BASIC,43
464,initial,2022-03-01,BASIC,53
465,initial,2021-04-01,BASIC,43
466,initial,2021-08-01,BASIC,43
467,initial,2022-06-01,PRO,85
468,initial,2022-06-01,BASIC,53
469,initial,2021-07-01,PRO,75
470,initial,2020-01-01,BASIC,33
471,initial,2022-02-01,BASIC,53
472,initial,2021-04-01,BASIC,43
473,initial,2021-09-01,BASIC,43
474,initial,2021-09-01,BASIC,43
475,initial,2020-06-01,PRO,65
476,initial,2021-10-01,BASIC,43
477,initial,2021-09-01,PRO,75
478,initial,2021-07-01,PRO,75
479,initial,2022-02-01,MAX,119
480,initial,2022-03-01,MAX,119
481,initial,2020-06-01,BASIC,33
482,initial,2021-06-01,PRO,75
483,initial,2022-12-01,MAX,119
484,initial,2021-03-01,MAX,109
485,initial,2021-02-01,PRO,75
486,initial,2020-02-01,BASIC,33
487,initial,2020-07-01,MAX,99
488,initial,2021-09-01,BASIC,43
489,initial,2021-02-01,BASIC,43
490,initial,2021-12-01,MAX,109
491,initial,2021-10-01,BASIC,43
492,initial,2020-07-01,BASIC,33
493,initial,2020-10-01,PRO,65
494,initial,2021-03-01,PRO,75
495,initial,2022-10-01,BASIC,53
496,initial,2022-05-01,BASIC,53
497,initial,2021-12-01,BASIC,43
498,initial,2022-06-01,MAX,119
499,initial,2021-04-01,PRO,75
500,initial,2020-01-01,MAX,99
501,initial,2022-01-01,BASIC,53
502,initial,2020-11-01,PRO,65
503,initial,2022-03-01,BASIC,53
504,initial,2022-10-01,PRO,85
505,initial,2022-08-01,MAX,119
506,initial,2020-04-01,BASIC,33
507,initial,2022-08-01,BASIC,53
508,initial,2021-07-01,BASIC,43
509,initial,2022-05-01,PRO,85
510,initial,2020-10-01,PRO,65
511,initial,2021-05-01,PRO,75
512,initial,2020-02-01,PRO,65
513,initial,2022-03-01,MAX,119
514,initial,2021-11-01,MAX,109
515,initial,2021-08-01,BASIC,43
516,initial,2021-10-01,MAX,109
517,initial,2020-04-01,PRO,65
518,initial,2020-06-01,BASIC,33
519,initial,2022-06-01,BASIC,53
520,initial,2020-06-01,BASIC,33
521,initial,2021-06-01,PRO,75
522,initial,2022-05-01,PRO,85
523,initial,2021-09-01,MAX,109
524,initial,2022-11-01,BASIC,53
525,initial,2021-11-01,BASIC,43
526,initial,2021-04-01,BASIC,43
527,initial,2020-03-01,MAX,99
528,initial,2021-01-01,MAX,109
529,initial,2020-06-01,BASIC,33
530,initial,2021-07-01,BASIC,43
531,initial,2021-05-01,MAX,109
532,initial,2021-03-01,PRO,75
533,initial,2021-11-01,BASIC,43
534,initial,2022-06-01,BASIC,53
535,initial,2020-01-01,BASIC,33
536,initial,2021-12-01,BASIC,43
537,initial,2021-11-01,PRO,75
538,initial,2022-07-01,BASIC,53
539,initial,2021-09-01,MAX,109
540,initial,2021-06-01,PRO,75
541,initial,2021-04-01,MAX,109
542,initial,2022-04-01,BASIC,53
543,initial,2022-12-01,PRO,85
544,initial,2022-05-01,BASIC,53
545,initial,2020-04-01,MAX,99
546,initial,2022-01-01,BASIC,53
547,initial,2021-11-01,BASIC,43
548,initial,2021-07-01,BASIC,43
549,initial,2021-01-01,BASIC,43
550,initial,2022-05-01,BASIC,53
551,initial,2020-04-01,PRO,65
552,initial,2021-01-01,PRO,75
553,initial,2021-06-01,PRO,75
554,initial,2020-12-01,BASIC,33
555,initial,2021-03-01,BASIC,43
556,initial,2021-08-01,PRO,75
557,initial,2021-07-01,MAX,109
558,initial,2020-03-01,PRO,65
559,initial,2021-05-01,BASIC,43
560,initial,2022-06-01,MAX,119
561,initial,2022-07-01,PRO,85
562,initial,2021-11-01,MAX,109
563,initial,2021-06-01,MAX,109
564,initial,2021-09-01,MAX,109
565,initial,2022-07-01,PRO,85
566,initial,2020-08-01,BASIC,33
567,initial,2022-09-01,BASIC,53
568,initial,2022-06-01,PRO,85
569,initial,2020-09-01,PRO,65
570,initial,2022-11-01,PRO,85
571,initial,2022-09-01,BASIC,53
572,initial,2022-07-01,MAX,119
573,initial,2022-03-01,PRO,85
574,initial,2022-05-01,BASIC,53
575,initial,2020-02-01,PRO,65
576,initial,2022-11-01,BASIC,53
577,initial,2022-03-01,BASIC,53
578,initial,2022-07-01,BASIC,53
579,initial,2021-07-01,PRO,75
580,initial,2022-11-01,MAX,119
581,initial,2022-03-01,MAX,119
582,initial,2021-07-01,BASIC,43
583,initial,2020-11-01,PRO,65
584,initial,2020-11-01,PRO,65
585,initial,2022-11-01,MAX,119
586,initial,2020-02-01,BASIC,33
587,initial,2021-03-01,BASIC,43
588,initial,2020-04-01,MAX,99
589,initial,2022-08-01,MAX,119
590,initial,2020-04-01,BASIC,33
591,initial,2020-06-01,BASIC,33
592,initial,2020-12-01,MAX,99
593,initial,2022-02-01,BASIC,53
594,initial,2020-05-01,MAX,99
595,initial,2021-05-01,BASIC,43
596,initial,2020-01-01,PRO,65
597,initial,2020-01-01,BASIC,33
598,initial,2021-04-01,MAX,109
599,initial,2021-12-01,PRO,75
600,initial,2021-07-01,BASIC,43
601,initial,2021-03-01,PRO,75
602,initial,2020-06-01,PRO,65
603,initial,2020-02-01,PRO,65
604,initial,2021-06-01,BASIC,43
605,initial,2020-12-01,PRO,65
606,initial,2020-05-01,PRO,65
607,initial,2022-09-01,MAX,119
608,initial,2022-07-01,BASIC,53
609,initial,2020-01-01,PRO,65
610,initial,2020-07-01,BASIC,33
611,initial,2022-07-01,BASIC,53
612,initial,2022-06-01,BASIC,53
613,initial,2021-06-01,BASIC,43
614,initial,2020-02-01,MAX,99
615,initial,2021-06-01,MAX,109
616,initial,2022-04-01,PRO,85
617,initial,2021-10-01,PRO,75
618,initial,2021-11-01,BASIC,43
619,initial,2021-03-01,PRO,75
620,initial,2022-12-01,PRO,85
621,initial,2022-12-01,MAX,119
622,initial,2021-03-01,PRO,75
623,initial,2020-08-01,BASIC,33
624,initial,2022-10-01,PRO,85
625,initial,2022-05-01,PRO,85
626,initial,2021-10-01,BASIC,43
627,initial,2022-07-01,BASIC,53
628,initial,2021-11-01,BASIC,43
629,initial,2021-10-01,PRO,75
630,initial,2021-05-01,BASIC,43
631,initial,2020-04-01,BASIC,33
632,initial,2022-04-01,PRO,85
633,initial,2022-01-01,BASIC,53
634,initial,2021-12-01,BASIC,43
635,initial,2021-07-01,BASIC,43
636,initial,2020-04-01,PRO,65
637,initial,2020-12-01,MAX,99
638,initial,2021-10-01,PRO,75
639,initial,2021-10-01,PRO,75
640,initial,2021-05-01,PRO,75
641,initial,2021-08-01,BASIC,43
642,initial,2020-12-01,PRO,65
643,initial,2022-07-01,MAX,119
644,initial,2021-11-01,BASIC,43
645,initial,2020-06-01,BASIC,33
646,initial,2021-12-01,PRO,75
647,initial,2021-03-01,MAX,109
648,initial,2022-05-01,PRO,85
649,initial,2021-10-01,PRO,75
650,initial,2020-05-01,PRO,65
651,initial,2020-09-01,BASIC,33
652,initial,2020-04-01,BASIC,33
653,initial,2021-06-01,PRO,75
654,initial,2020-08-01,BASIC,33
655,initial,2020-09-01,BASIC,33
656,initial,2020-08-01,BASIC,33
657,initial,2021-02-01,MAX,109
658,initial,2020-11-01,BASIC,33
659,initial,2021-04-01,PRO,75
660,initial,2022-06-01,BASIC,53
661,initial,2020-11-01,BASIC,33
662,initial,2020-01-01,BASIC,33
663,initial,2021-05-01,PRO,75
664,initial,2021-03-01,BASIC,43
665,initial,2021-10-01,MAX,109
666,initial,2021-01-01,PRO,75
667,initial,2022-06-01,PRO,85
668,initial,2022-01-01,PRO,85
669,initial,2021-02-01,BASIC,43
670,initial,2021-10-01,PRO,75
671,initial,2022-01-01,BASIC,53
672,initial,2020-05-01,BASIC,33
673,initial,2020-08-01,MAX,99
674,initial,2021-05-01,PRO,75
675,initial,2022-04-01,PRO,85
676,initial,2021-11-01,BASIC,43
677,initial,2022-11-01,PRO,85
678,initial,2020-03-01,MAX,99
679,initial,2021-08-01,BASIC,43
680,initial,2021-05-01,PRO,75
681,initial,2022-05-01,BASIC,53
682,initial,2020-07-01,PRO,65
683,initial,2021-03-01,BASIC,43
684,initial,2020-07-01,PRO,65
685,initial,2022-08-01,PRO,85
686,initial,2020-07-01,MAX,99
687,initial,2021-12-01,BASIC,43
688,initial,2020-01-01,PRO,65
689,initial,2022-12-01,PRO,85
690,initial,2022-02-01,MAX,119
691,initial,2021-02-01,BASIC,43
692,initial,2022-01-01,PRO,85
693,initial,2022-12-01,PRO,85
694,initial,2021-05-01,BASIC,43
695,initial,2022-08-01,BASIC,53
696,initial,2020-03-01,MAX,99
697,initial,2021-02-01,BASIC,43
698,initial,2022-05-01,BASIC,53
699,initial,2021-05-01,MAX,109
700,initial,2021-07-01,MAX,109
701,initial,2020-12-01,PRO,65
702,initial,2022-09-01,BASIC,53
703,initial,2022-06-01,MAX,119
704,initial,2021-12-01,PRO,75
705,initial,2022-03-01,PRO,85
706,initial,2021-06-01,BASIC,43
707,initial,2020-12-01,PRO,65
708,initial,2022-08-01,BASIC,53
709,initial,2021-12-01,PRO,75
710,initial,2022-06-01,BASIC,53
711,initial,2020-10-01,BASIC,33
712,initial,2021-07-01,BASIC,43
713,initial,2022-06-01,MAX,119
714,initial,2020-03-01,PRO,65
715,initial,2021-08-01,MAX,109
716,initial,2020-08-01,PRO,65
717,initial,2020-01-01,MAX,99
718,initial,2022-10-01,BASIC,53
719,initial,2022-09-01,MAX,119
720,initial,2020-02-01,BASIC,33
721,initial,2020-03-01,MAX,99
722,initial,2021-05-01,BASIC,43
723,initial,2021-05-01,PRO,75
724,initial,2020-04-01,PRO,65
725,initial,2022-12-01,BASIC,53
726,initial,2020-09-01,BASIC,33
727,initial,2020-05-01,BASIC,33
728,initial,2020-02-01,PRO,65
729,initial,2022-11-01,BASIC,53
730,initial,2021-09-01,PRO,75
731,initial,2021-09-01,PRO,75
732,initial,2020-10-01,PRO,65
733,initial,2021-08-01,MAX,109
734,initial,2021-01-01,PRO,75
735,initial,2021-11-01,BASIC,43
736,initial,2020-01-01,PRO,65
737,initial,2021-04-01,PRO,75
738,initial,2021-06-01,PRO,75
739,initial,2022-04-01,BASIC,53
740,initial,2021-11-01,BASIC,43
741,initial,2021-04-01,MAX,109
742,initial,2021-11-01,PRO,75
743,initial,2021-06-01,BASIC,43
744,initial,2022-01-01,MAX,119
745,initial,2022-07-01,PRO,85
746,initial,2020-07-01,MAX,99
747,initial,2022-12-01,BASIC,53
748,initial,2021-03-01,PRO,75
749,initial,2022-11-01,MAX,119
750,initial,2020-06-01,PRO,65
751,initial,2020-09-01,PRO,65
752,initial,2020-10-01,MAX,99
753,initial,2020-07-01,BASIC,33
754,initial,2020-03-01,BASIC,33
755,initial,2022-02-01,PRO,85
756,initial,2020-07-01,MAX,99
757,initial,2021-07-01,PRO,75
